YEAR,GEO,performance_of_system,Incidents&Casualties,VALUE,Status of casualty,Type of structure
2005,canada,total residential fires,"fire incidents, residential properties",13619.0,SIN,SIN
2005,canada,total residential fires,"fire-related deaths, residential properties",144.0,SIN,SIN
2005,canada,total residential fires,"fire-related injuries, residential properties",998.0,SIN,SIN
2005,canada,no smoke alarm,"fire incidents, residential properties",1183.0,SIN,SIN
2005,canada,no smoke alarm,"fire-related deaths, residential properties",22.0,SIN,SIN
2005,canada,no smoke alarm,"fire-related injuries, residential properties",74.0,SIN,SIN
2005,canada,alarm activated,"fire incidents, residential properties",3542.0,SIN,SIN
2005,canada,alarm activated,"fire-related deaths, residential properties",33.0,SIN,SIN
2005,canada,alarm activated,"fire-related injuries, residential properties",417.0,SIN,SIN
2005,canada,alarm did not activate,"fire incidents, residential properties",1537.0,SIN,SIN
2005,canada,alarm did not activate,"fire-related deaths, residential properties",26.0,SIN,SIN
2005,canada,alarm did not activate,"fire-related injuries, residential properties",158.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire incidents, residential properties",7357.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire-related deaths, residential properties",63.0,SIN,SIN
2005,canada,unknown performance of smoke alarm device,"fire-related injuries, residential properties",349.0,SIN,SIN
2005,ontario,total residential fires,"fire incidents, residential properties",8575.0,SIN,SIN
2005,ontario,total residential fires,"fire-related deaths, residential properties",74.0,SIN,SIN
2005,ontario,total residential fires,"fire-related injuries, residential properties",664.0,SIN,SIN
2005,ontario,no smoke alarm,"fire incidents, residential properties",6.0,SIN,SIN
2005,ontario,no smoke alarm,"fire-related deaths, residential properties",12.0,SIN,SIN
2005,ontario,no smoke alarm,"fire-related injuries, residential properties",5.0,SIN,SIN
2005,ontario,alarm activated,"fire incidents, residential properties",2267.0,SIN,SIN
2005,ontario,alarm activated,"fire-related deaths, residential properties",22.0,SIN,SIN
2005,ontario,alarm activated,"fire-related injuries, residential properties",279.0,SIN,SIN
2005,ontario,alarm did not activate,"fire incidents, residential properties",992.0,SIN,SIN
2005,ontario,alarm did not activate,"fire-related deaths, residential properties",16.0,SIN,SIN
2005,ontario,alarm did not activate,"fire-related injuries, residential properties",130.0,SIN,SIN
2005,ontario,unknown performance of smoke alarm device,"fire incidents, residential properties",5310.0,SIN,SIN
2005,ontario,unknown performance of smoke alarm device,"fire-related deaths, residential properties",24.0,SIN,SIN
2005,ontario,unknown performance of smoke alarm device,"fire-related injuries, residential properties",250.0,SIN,SIN
2005,manitoba,total residential fires,"fire incidents, residential properties",1263.0,SIN,SIN
2005,manitoba,total residential fires,"fire-related deaths, residential properties",14.0,SIN,SIN
2005,manitoba,total residential fires,"fire-related injuries, residential properties",11.0,SIN,SIN
2005,manitoba,no smoke alarm,"fire incidents, residential properties",129.0,SIN,SIN
2005,manitoba,no smoke alarm,"fire-related deaths, residential properties",1.0,SIN,SIN
2005,manitoba,no smoke alarm,"fire-related injuries, residential properties",1.0,SIN,SIN
2005,manitoba,alarm activated,"fire incidents, residential properties",446.0,SIN,SIN
2005,manitoba,alarm activated,"fire-related deaths, residential properties",3.0,SIN,SIN
2005,manitoba,alarm activated,"fire-related injuries, residential properties",8.0,SIN,SIN
2005,manitoba,alarm did not activate,"fire incidents, residential properties",267.0,SIN,SIN
2005,manitoba,alarm did not activate,"fire-related deaths, residential properties",5.0,SIN,SIN
2005,manitoba,alarm did not activate,"fire-related injuries, residential properties",1.0,SIN,SIN
2005,manitoba,unknown performance of smoke alarm device,"fire incidents, residential properties",421.0,SIN,SIN
2005,manitoba,unknown performance of smoke alarm device,"fire-related deaths, residential properties",5.0,SIN,SIN
2005,manitoba,unknown performance of smoke alarm device,"fire-related injuries, residential properties",1.0,SIN,SIN
2005,saskatchewan,total residential fires,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,total residential fires,"fire-related deaths, residential properties",SIN,SIN,SIN
2005,saskatchewan,total residential fires,"fire-related injuries, residential properties",SIN,SIN,SIN
2005,saskatchewan,no smoke alarm,"fire incidents, residential properties",SIN,SIN,SIN
2005,saskatchewan,no smoke alarm,"fire-related deaths, residential properties",SIN,SIN,SIN
