YEAR,MONTH,DAY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,FATALITIES,INJURED / INFECTED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,MAGNITUDE,PLACE
1987,Nov,17,technology,transportation accident,marine,34,0.0,,nan,0.0,400 km off cape race nl
1998,Jan,16,natural,meteorological - hydrological,storm,21,0.0,51093580000,3357738,0.0,45 miles southwest of the islands of saint-pierre-et-miquelon
2005,Sep,28,technology,hazardous chemicals,leak / spill release,SIN,SIN,00000,00,0.0,abbotsford bc
1918,Jan,1,natural,biological,infestation/epidemic/pandemic,50000,2000000.0,,nan,0.0,across canada
2008,Aug,1,natural,biological,infestation/epidemic/pandemic,22,57.0,00000,00,0.0,across canada
2009,Apr,1,natural,biological,infestation/epidemic/pandemic,425,8582.0,00000,00,0.0,across canada
1927,Mar,1,natural,biological,infestation/epidemic/pandemic,SIN,0.0,,nan,0.0,across canada
1936,Jul,5,natural,meteorological - hydrological,head event/drought,1180,0.0,,nan,0.0,across canada
1982,Jan,5,natural,meteorological - hydrological,cold event,0,0.0,,nan,0.0,across canada
2001,Jun,1,natural,meteorological - hydrological,head event/drought,0,0.0,00000,00,0.0,"across canada, concentrated in saskatchewan and alberta"
2003,Mar,13,natural,biological,infestation/epidemic/pandemic,44,375.0,,nan,0.0,"across canada, largely in the greater toronto area"
1999,Jul,16,technology,infrastructure failure,communications,0,2.0,,nan,0.0,"across toronto, canada, and internationally"
2006,May,27,natural,meteorological - hydrological,flood,0,0.0,31408290000,1727312,0.0,aklavik nt
1982,Jun,1,natural,meteorological - hydrological,flood,0,0.0,1414120000,154549,0.0,aklavik nt
1989,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,albany and attawapiskat river on
2008,Apr,25,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,albany river on
1984,Oct,6,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,alberta
1994,Jan,23,natural,meteorological - hydrological,cold event,0,0.0,459950000,32202,0.0,alberta to maritimes
1943,Sep,10,technology,transportation accident,rail,12,2.0,,nan,0.0,aldershot on
1942,Dec,27,technology,transportation accident,rail,36,155.0,,nan,0.0,almonte on
1958,Jan,1,natural,meteorological - hydrological,air,0,0.0,,nan,0.0,amaranth mb
2006,Aug,15,technology,hazardous chemicals,fire,0,3.0,00000,00,0.0,amherstburg on
1976,Apr,1,natural,meteorological - hydrological,flood,0,0.0,45451030000,8768687,0.0,assiniboine river mb
1997,Apr,22,natural,meteorological - hydrological,flood,0,0.0,4985135770000,330871843,0.0,"assiniboine, red and winnipeg rivers mb"
2011,Apr,19,natural,meteorological - hydrological,flood,0,0.0,6998840000000,350233862,0.0,"assiniboine, roseau and red rivers mb"
1996,Jul,5,natural,meteorological - hydrological,flood,0,0.0,2780610000,187668,0.0,atikokan on
2002,May,1,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,attawapiskat first nation on
1992,May,18,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,attawapiskat on
2004,May,19,natural,meteorological - hydrological,flood,SIN,SIN,57000000000,3266476,0.0,attawapiskat on
1992,Oct,6,natural,meteorological - hydrological,storm,0,0.0,89450370000,6389312,0.0,"avalon and burin peninsulas and bonavista, trinity and conception bays nl"
1994,Dec,8,natural,meteorological - hydrological,storm,0,0.0,,nan,0.0,avalon area of newfoundland and labrador
1983,Dec,22,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,avalon peninsula nl
1994,Aug,4,natural,meteorological - hydrological,air,0,4.0,77863930000,5451384,0.0,aylmer qc
1999,Jun,28,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,badger nl
2003,Feb,15,natural,meteorological - hydrological,flood,SIN,SIN,46815530000,2732424,0.0,badger nl
1983,Feb,28,natural,meteorological - hydrological,flood,SIN,SIN,,nan,0.0,badger nl
1933,Nov,20,natural,geological,earthquake,0,0.0,,nan,7.0,baffin bay nu
2006,Apr,17,natural,meteorological - hydrological,flood,0,0.0,32358130000,1779549,0.0,baie verte peninsula nl
1966,Nov,3,natural,meteorological - hydrological,flood,5,0.0,,nan,0.0,baie-comeau qc
2010,Jan,2,natural,meteorological - hydrological,storm surge,0,0.0,6276730000,323265,0.0,baie-verte and port elgin nb
1999,Sep,7,natural,meteorological - hydrological,storm,SIN,SIN,17267660000,1115242,0.0,balmoral and val d'amour areas in restigouche county nb
1990,Feb,11,natural,meteorological - hydrological,avalanche,4,0.0,,nan,0.0,banff ab
1999,Feb,13,natural,meteorological - hydrological,storm,0,30.0,,nan,0.0,barrie on
1973,Mar,18,natural,meteorological - hydrological,storm,12,43.0,,nan,0.0,barrie on
1997,Jan,1,natural,biological,infestation/epidemic/pandemic,0,0.0,258814030000,17177922,0.0,bay of fundy nb
1999,May,4,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,beardmore on
2007,May,10,technology,hazardous chemicals,derailment release,0,0.0,00000,00,0.0,bellefleur nb
2008,Apr,14,natural,meteorological - hydrological,flood,0,0.0,00000,00,0.0,belleville on
1980,May,20,natural,geological,landslide,8,0.0,,nan,0.0,"belmoral mine, val d'or, qc"
1991,Jun,29,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,"betsiamites, ragueneau et baie-comeau qc"
1995,Mar,10,natural,meteorological - hydrological,avalanche,2,0.0,3681600000,252164,0.0,blanc sablon qc
1987,Mar,23,natural,meteorological - hydrological,avalanche,7,0.0,,nan,0.0,blue river bc
2006,Aug,15,technology,hazardous chemicals,fire,0,0.0,00000,00,0.0,boisbriand qc
1951,Jan,1,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,bow river bc
2011,May,10,natural,meteorological - hydrological,flood,0,0.0,00000,00,SIN,brandon mb
2002,Nov,16,technology,transportation accident,rail,1,0.0,00000,00,0.0,brantford on
1986,Jan,1,natural,geological,landslide,0,0.0,,nan,0.0,brantford on
2005,May,25,natural,meteorological - hydrological,flood,0,0.0,14479040000,811909,0.0,bridgewater ns
1947,Apr,30,natural,meteorological - hydrological,flood,2,0.0,,nan,0.0,bristol nb
1921,Oct,28,natural,geological,landslide,37,0.0,,nan,0.0,britannia beach bc
1994,Jul,24,natural,meteorological - hydrological,fire,0,0.0,,nan,0.0,british columbia
1998,Aug,1,natural,meteorological - hydrological,fire,0,0.0,27950000,1837,0.0,british columbia
1999,Mar,1,natural,meteorological - hydrological,flood,SIN,SIN,224266950000,14484410,0.0,british columbia
1999,Jun,16,natural,meteorological - hydrological,flood,0,0.0,,nan,0.0,british columbia
2002,May,20,natural,meteorological - hydrological,flood,SIN,SIN,00000,00,0.0,british columbia
2010,Jul,28,natural,meteorological - hydrological,fire,2,0.0,2573390000000,132535107,0.0,british columbia
1924,Oct,29,conflict,terrorist,bomb attacks,9,0.0,00000,00,0.0,british columbia
1944,Jan,1,conflict,fire,non-residential,1,0.0,,nan,0.0,british columbia
1960,May,22,natural,geological,tsunami,0,0.0,,nan,9.0,british columbia
1989,Dec,18,natural,meteorological - hydrological,cold event,7,0.0,5364880000,430338,0.0,british columbia to ontario
1918,Oct,23,technology,transportation accident,marine,343,0.0,,nan,0.0,"british columbia, off coast"
1963,Jun,3,technology,transportation accident,air,101,0.0,,nan,0.0,"british columbia, pacific coast"
2002,Apr,14,technology,explosion,non-residential,SIN,SIN,00000,00,0.0,brookdale mb
1991,Mar,12,natural,meteorological - hydrological,avalanche,9,0.0,,nan,0.0,bugaboo glacier provincial park bc
1995,Sep,11,natural,meteorological - hydrological,storm,0,0.0,26618900000,1823212,0.0,burin peninsula nl
1929,Nov,18,natural,geological,tsunami,28,0.0,,nan,7.0,burin peninsula nl
1941,Aug,2,natural,meteorological - hydrological,flood,2,0.0,,nan,0.0,"burin peninsula, st. john's and little st. lawrence nl"
1909,Nov,28,natural,geological,landslide,22,15.0,,nan,0.0,burnaby and new westminster bc
